year,age,rate
1999,15,0
1999,16,0.8
1999,17,1.6
1999,18,2.7
1999,19,3.5
1999,20,4.5
1999,21,5.5
1999,22,5.2
1999,23,5.1
1999,24,6.3
1999,25,5.9
1999,26,6.6
1999,27,7.4
1999,28,7.3
1999,29,9.7
1999,30,8.5
1999,31,9.6
1999,32,10.7
1999,33,9.9
1999,34,12.8
1999,35,12.2
1999,36,13.4
1999,37,14.5
1999,38,16.3
1999,39,14.4
1999,40,15.6
1999,41,17.8
1999,42,16.8
1999,43,18
1999,44,18.7
1999,45,17.8
1999,46,17.2
1999,47,14.6
1999,48,14.2
1999,49,13.1
1999,50,10.7
1999,51,10
1999,52,9.2
1999,53,9
1999,54,7.1
1999,55,7
1999,56,6.4
1999,57,6.1
1999,58,4.9
1999,59,4.2
1999,60,4
1999,61,3.5
1999,62,4
1999,63,3.8
1999,64,3.4
1999,65,3.2
1999,66,3.6
1999,67,2.9
1999,68,3
1999,69,3.1
1999,70,3.3
1999,71,2.7
1999,72,2.6
1999,73,2.7
1999,74,2.9
1999,75,3.3
1999,76,3.9
1999,77,4.2
1999,78,3
1999,79,3.6
1999,80,3.4
1999,81,4.2
1999,82,3.7
1999,83,4.1
1999,84,5.9
2000,15,0.6
2000,16,1.3
2000,17,1.6
2000,18,3.2
2000,19,4.4
2000,20,5
2000,21,5.8
2000,22,5.7
2000,23,6.3
2000,24,6.6
2000,25,6.7
2000,26,7.2
2000,27,7.5
2000,28,7.2
2000,29,8.7
2000,30,8.3
2000,31,9.6
2000,32,10.6
2000,33,10.9
2000,34,11.3
2000,35,12.5
2000,36,13.7
2000,37,14.3
2000,38,15.4
2000,39,16.1
2000,40,16.9
2000,41,18.3
2000,42,16.6
2000,43,17.7
2000,44,18.3
2000,45,17.5
2000,46,15.6
2000,47,16.5
2000,48,14.6
2000,49,14.5
2000,50,12
2000,51,11.1
2000,52,10.2
2000,53,9.5
2000,54,8.3
2000,55,7.7
2000,56,5.9
2000,57,6.1
2000,58,4.6
2000,59,4.9
2000,60,4.4
2000,61,4.1
2000,62,2.9
2000,63,4
2000,64,2.6
2000,65,2.7
2000,66,2.4
2000,67,2.3
2000,68,3.2
2000,69,2.3
2000,70,2.6
2000,71,3.1
2000,72,3.2
2000,73,2.4
2000,74,2.4
2000,75,3
2000,76,2.6
2000,77,4
2000,78,2.7
2000,79,3.7
2000,80,4.6
2000,81,2.4
2000,82,3.8
2000,83,4.3
2000,84,4.9
2001,15,0.7
2001,16,1.7
2001,17,2.2
2001,18,3.2
2001,19,5.4
2001,20,5.3
2001,21,6
2001,22,6.8
2001,23,7
2001,24,7.3
2001,25,7
2001,26,7.4
2001,27,8.4
2001,28,9.4
2001,29,8.9
2001,30,9.5
2001,31,9.2
2001,32,10.9
2001,33,12.2
2001,34,11.3
2001,35,13
2001,36,13.5
2001,37,15.7
2001,38,17.2
2001,39,17.9
2001,40,18.2
2001,41,17.7
2001,42,17.9
2001,43,19.3
2001,44,19.5
2001,45,19.9
2001,46,18.8
2001,47,17.6
2001,48,16.9
2001,49,14.8
2001,50,15
2001,51,12.4
2001,52,11.3
2001,53,10
2001,54,8.4
2001,55,8.5
2001,56,5.9
2001,57,6.1
2001,58,6.4
2001,59,5.2
2001,60,4.2
2001,61,3.9
2001,62,4.7
2001,63,3.3
2001,64,4.6
2001,65,3.5
2001,66,3
2001,67,3.4
2001,68,2.8
2001,69,2.8
2001,70,2.9
2001,71,3.4
2001,72,3.2
2001,73,2.5
2001,74,2.6
2001,75,3.1
2001,76,3.8
2001,77,4
2001,78,3.3
2001,79,2.7
2001,80,3.9
2001,81,3.3
2001,82,3.8
2001,83,3.1
2001,84,3.8
2002,15,0.8
